,PLAYER,POS,FPTS,VOR,VALUERANK
0,Christian McCaffrey,RB,316.75,216.15,1.0
1,Saquon Barkley,RB,274.15000000000003,173.55000000000004,2.0
2,Ezekiel Elliott,RB,270.05,169.45000000000002,3.0
4,Dalvin Cook,RB,260.5,159.9,4.0
5,Alvin Kamara,RB,248.0,147.4,5.0
3,Derrick Henry,RB,246.15,145.55,6.0
0,Michael Thomas,WR,263.85,141.95000000000002,7.0
7,Clyde Edwards-Helaire,RB,224.1,123.5,8.0
10,Miles Sanders,RB,221.4,120.80000000000001,9.0
9,Aaron Jones,RB,220.1,119.5,10.0
12,Kenyan Drake,RB,219.6,119.0,11.0
1,Davante Adams,WR,239.8,117.9,12.0
8,Joe Mixon,RB,218.25,117.65,13.0
14,Austin Ekeler,RB,216.9,116.30000000000001,14.0
6,Nick Chubb,RB,214.7,114.1,15.0
11,Josh Jacobs,RB,210.75,110.15,16.0
2,Julio Jones,WR,228.4,106.5,17.0
13,Chris Carson,RB,202.6,102.0,18.0
0,Travis Kelce,TE,207.25,99.7,19.0
15,Todd Gurley,RB,199.10000000000002,98.50000000000003,20.0
17,Leonard Fournette,RB,196.70000000000002,96.10000000000002,21.0
0,Lamar Jackson,QB,355.2,94.80000000000001,22.0
18,Le'Veon Bell,RB,195.3,94.70000000000002,23.0
3,Tyreek Hill,WR,216.15,94.25,24.0
16,David Johnson,RB,194.39999999999998,93.79999999999998,25.0
5,DeAndre Hopkins,WR,212.1,90.19999999999999,26.0
4,Chris Godwin,WR,207.10000000000002,85.20000000000002,27.0
19,James Conner,RB,183.25,82.65,28.0
20,Melvin Gordon,RB,183.2,82.6,29.0
1,George Kittle,TE,189.10000000000002,81.55000000000003,30.0
1,Patrick Mahomes,QB,341.9,81.5,31.0
6,Mike Evans,WR,199.25,77.35,32.0
7,Kenny Golladay,WR,197.05,75.15,33.0
10,D.J. Moore,WR,195.6,73.69999999999999,34.0
11,Robert Woods,WR,194.55,72.65,35.0
8,Amari Cooper,WR,192.05,70.15,36.0
9,Adam Thielen,WR,191.95,70.04999999999998,37.0
15,Cooper Kupp,WR,191.6,69.69999999999999,38.0
12,Calvin Ridley,WR,189.60000000000002,67.70000000000002,39.0
22,Devin Singletary,RB,167.75,67.15,40.5
16,Allen Robinson,WR,189.05,67.15,40.5
13,Tyler Lockett,WR,186.75,64.85,42.0
18,Keenan Allen,WR,186.05,64.15,43.0
23,Mark Ingram II,RB,161.25,60.650000000000006,44.0
17,Odell Beckham Jr.,WR,181.85,59.94999999999999,45.5
14,A.J. Brown,WR,181.85,59.94999999999999,45.5
21,David Montgomery,RB,160.5,59.900000000000006,47.0
3,Zach Ertz,TE,166.85,59.3,48.0
21,JuJu Smith-Schuster,WR,179.95,58.04999999999998,49.0
26,Ronald Jones II,RB,157.4,56.80000000000001,50.0
19,DeVante Parker,WR,178.10000000000002,56.20000000000002,51.0
24,Jonathan Taylor,RB,155.39999999999998,54.79999999999998,52.0
2,Dak Prescott,QB,314.6,54.200000000000045,53.0
20,Courtland Sutton,WR,176.04999999999998,54.14999999999998,54.0
22,Terry McLaurin,WR,173.95,52.04999999999998,55.0
25,Raheem Mostert,RB,152.45,51.849999999999994,56.0
23,T.Y. Hilton,WR,173.05,51.150000000000006,57.0
3,Deshaun Watson,QB,310.9,50.5,58.0
29,Kareem Hunt,RB,150.8,50.20000000000002,59.0
2,Mark Andrews,TE,157.45,49.89999999999999,60.0
26,A.J. Green,WR,168.8,46.900000000000006,61.0
28,Jarvis Landry,WR,168.65,46.75,62.0
27,D'Andre Swift,RB,146.70000000000002,46.10000000000002,63.0
25,D.K. Metcalf,WR,167.95000000000002,46.05000000000001,64.0
24,Michael Gallup,WR,167.9,46.0,65.0
4,Darren Waller,TE,153.25,45.7,66.0
4,Russell Wilson,QB,303.9,43.5,67.0
27,Stefon Diggs,WR,165.35,43.44999999999999,68.0
29,D.J. Chark,WR,163.55,41.650000000000006,69.0
28,Cam Akers,RB,141.4,40.80000000000001,70.0
32,Julian Edelman,WR,161.65,39.75,71.0
33,Tyler Boyd,WR,161.0,39.099999999999994,72.0
30,Kerryon Johnson,RB,139.5,38.900000000000006,73.0
30,Marquise Brown,WR,158.9,37.0,74.0
31,Marvin Jones,WR,158.45,36.54999999999998,75.0
36,James White,RB,137.1,36.5,76.0
5,Kyler Murray,QB,294.9,34.5,77.0
38,Tarik Cohen,RB,134.8,34.20000000000002,78.0
6,Josh Allen,QB,293.6,33.200000000000045,79.0
5,Evan Engram,TE,137.95,30.39999999999999,80.0
36,Jamison Crowder,WR,150.1,28.19999999999999,81.0
31,Marlon Mack,RB,128.1,27.5,82.0
35,Diontae Johnson,WR,148.65,26.75,83.0
7,Matt Ryan,QB,286.1,25.700000000000045,84.0
40,Sterling Shepard,WR,146.35000000000002,24.450000000000017,85.0
35,Phillip Lindsay,RB,124.9,24.30000000000001,86.0
33,Jordan Howard,RB,124.5,23.900000000000006,87.0
34,Will Fuller,WR,145.70000000000002,23.80000000000001,88.0
39,Christian Kirk,WR,145.65,23.75,89.0
32,Sony Michel,RB,122.5,21.900000000000006,90.0
8,Tyler Higbee,TE,129.4,21.85000000000001,91.0
38,Brandin Cooks,WR,143.6,21.69999999999999,92.0
7,Hunter Henry,TE,128.85,21.299999999999997,93.0
37,Matt Breida,RB,121.35,20.75,94.0
43,Golden Tate,WR,142.45,20.549999999999983,95.0
34,Tevin Coleman,RB,120.85,20.25,96.0
42,Preston Williams,WR,140.95,19.049999999999983,97.0
6,Jared Cook,TE,126.30000000000001,18.750000000000014,98.0
8,Tom Brady,QB,278.0,17.600000000000023,99.0
37,Mike Williams,WR,137.8,15.900000000000006,100.0
41,John Brown,WR,137.54999999999998,15.649999999999977,101.0
9,Drew Brees,QB,275.9,15.5,102.0
42,Duke Johnson,RB,115.1,14.5,103.0
10,Aaron Rodgers,QB,273.9,13.5,104.0
44,Darius Slayton,WR,134.65,12.75,105.0
11,Hayden Hurst,TE,118.7,11.150000000000006,106.0
40,Latavius Murray,RB,111.2,10.600000000000009,107.0
9,Rob Gronkowski,TE,117.9,10.350000000000009,108.0
11,Carson Wentz,QB,270.5,10.100000000000023,109.0
48,Anthony Miller,WR,131.25,9.349999999999994,110.0
10,Noah Fant,TE,116.5,8.950000000000003,111.0
39,Adrian Peterson,RB,108.95,8.350000000000009,112.0
45,Breshad Perriman,WR,130.15,8.25,113.0
49,Emmanuel Sanders,WR,129.4,7.5,114.0
46,Deebo Samuel,WR,129.15,7.25,115.0
13,Mike Gesicki,TE,114.5,6.950000000000003,116.0
12,Austin Hooper,TE,114.3,6.75,117.0
47,DeSean Jackson,WR,127.75,5.849999999999994,118.0
51,Henry Ruggs III,WR,127.05000000000001,5.150000000000006,119.0
50,CeeDee Lamb,WR,127.05,5.1499999999999915,120.0
41,J.K. Dobbins,RB,105.6,5.0,121.0
53,Jalen Reagor,WR,126.7,4.799999999999997,122.0
44,Darrell Henderson,RB,104.35,3.75,123.0
52,Robby Anderson,WR,125.6,3.6999999999999886,124.0
54,Sammy Watkins,WR,124.0,2.0999999999999943,125.0
46,Antonio Gibson,RB,101.25,0.6500000000000057,126.0
12,Matthew Stafford,QB,260.4,0.0,128.5
14,T.J. Hockenson,TE,107.55,0.0,128.5
56,Jerry Jeudy,WR,121.9,0.0,128.5
43,Zack Moss,RB,100.6,0.0,128.5
13,Cam Newton,QB,260.0,-0.39999999999997726,131.0
55,Curtis Samuel,WR,120.35,-1.5500000000000114,132.0
57,Justin Jefferson,WR,119.45,-2.450000000000003,133.0
58,Allen Lazard,WR,118.89999999999999,-3.000000000000014,134.0
45,Boston Scott,RB,97.45,-3.1499999999999915,135.0
15,Chris Herndon IV,TE,104.2,-3.3499999999999943,136.0
14,Jared Goff,QB,255.8,-4.599999999999966,137.0
16,Dallas Goedert,TE,102.95,-4.599999999999994,138.0
20,Jack Doyle,TE,101.4,-6.1499999999999915,139.0
51,Nyheim Hines,RB,94.4,-6.199999999999989,140.0
59,N'Keal Harry,WR,114.9,-7.0,141.0
15,Ryan Tannehill,QB,252.9,-7.499999999999972,142.0
47,Ke'Shawn Vaughn,RB,93.0,-7.599999999999994,143.0
17,Eric Ebron,TE,99.9,-7.6499999999999915,144.0
16,Daniel Jones,QB,252.4,-7.999999999999972,145.0
19,Blake Jarwin,TE,99.4,-8.149999999999991,146.0
61,Steven Sims,WR,113.65,-8.25,147.0
18,Jonnu Smith,TE,99.15,-8.399999999999991,148.0
50,Tony Pollard,RB,91.55,-9.049999999999997,149.0
65,Dede Westbrook,WR,112.05000000000001,-9.849999999999994,150.0
48,Justin Jackson,RB,90.55,-10.049999999999997,151.0
68,Danny Amendola,WR,111.55000000000001,-10.349999999999994,152.0
62,Corey Davis,WR,110.9,-11.0,153.0
21,Ian Thomas,TE,95.35,-12.200000000000003,154.0
64,Hunter Renfrow,WR,109.55000000000001,-12.349999999999994,155.0
60,Mecole Hardman,WR,109.45,-12.450000000000003,156.0
67,Cole Beasley,WR,109.0,-12.900000000000006,157.0
49,Alexander Mattison,RB,87.5,-13.099999999999994,158.0
63,Michael Pittman Jr.,WR,108.25,-13.650000000000006,159.0
17,Baker Mayfield,QB,245.4,-14.999999999999972,160.0
18,Kirk Cousins,QB,244.6,-15.799999999999983,161.0
19,Gardner Minshew II,QB,244.3,-16.099999999999966,162.0
20,Ben Roethlisberger,QB,243.6,-16.799999999999983,163.0
70,Larry Fitzgerald,WR,105.05000000000001,-16.849999999999994,164.0
23,Jace Sternberger,TE,89.1,-18.450000000000003,165.0
21,Jimmy Garoppolo,QB,241.4,-18.99999999999997,166.0
66,Tyrell Williams,WR,102.6,-19.30000000000001,167.0
22,Joe Burrow,QB,240.8,-19.599999999999966,168.0
22,Greg Olsen,TE,87.6,-19.950000000000003,169.0
53,Darrynton Evans,RB,79.9,-20.69999999999999,170.0
69,Brandon Aiyuk,WR,100.65,-21.25,171.0
24,Kyle Rudolph,TE,85.6,-21.950000000000003,172.0
54,Jamaal Williams,RB,78.55,-22.049999999999997,173.5
52,Chase Edmonds,RB,78.55,-22.049999999999997,173.5
55,Jalen Richard,RB,77.8,-22.799999999999997,175.0
71,Alshon Jeffery,WR,98.75,-23.150000000000006,176.0
72,Randall Cobb,WR,97.85,-24.05000000000001,177.0
73,Denzel Mims,WR,95.44999999999999,-26.450000000000017,178.0
57,Ito Smith,RB,73.0,-27.599999999999994,179.0
23,Drew Lock,QB,232.6,-27.799999999999983,180.0
61,Giovani Bernard,RB,72.14999999999999,-28.450000000000003,181.0
74,Josh Reynolds,WR,93.25,-28.650000000000006,182.0
26,Jimmy Graham,TE,78.8,-28.75,183.0
24,Teddy Bridgewater,QB,231.4,-28.99999999999997,184.0
28,Irv Smith Jr.,TE,78.0,-29.549999999999997,185.0
25,Philip Rivers,QB,230.6,-29.799999999999983,186.0
62,Chris Thompson,RB,70.65,-29.94999999999999,187.0
59,Jerick McKinnon,RB,70.4,-30.19999999999999,188.0
25,Dawson Knox,TE,77.25,-30.299999999999997,189.0
75,Parris Campbell,WR,90.4,-31.5,190.0
27,Tyler Eifert,TE,75.85,-31.700000000000003,191.0
76,Chris Conley,WR,89.45,-32.45,192.0
77,Tee Higgins,WR,88.95,-32.95,193.0
56,A.J. Dillon,RB,66.4,-34.19999999999999,194.0
31,C.J. Uzomah,TE,73.30000000000001,-34.249999999999986,195.0
78,Russell Gage,WR,87.0,-34.900000000000006,196.0
26,Derek Carr,QB,224.9,-35.49999999999997,197.0
27,Sam Darnold,QB,224.4,-35.99999999999997,198.0
58,Joshua Kelley,RB,64.55,-36.05,199.0
29,Darren Fells,TE,70.85,-36.7,200.0
30,O.J. Howard,TE,69.3,-38.25,201.0
60,Malcolm Brown,RB,62.25,-38.349999999999994,202.0
32,David Njoku,TE,69.0,-38.55,203.0
63,LeSean McCoy,RB,62.0,-38.599999999999994,204.0
80,Mohamed Sanu,WR,83.15,-38.75,205.0
79,James Washington,WR,82.80000000000001,-39.099999999999994,206.0
33,Gerald Everett,TE,65.95,-41.599999999999994,207.0
83,Adam Humphries,WR,79.25,-42.650000000000006,208.0
65,Ryquell Armstead,RB,57.15,-43.449999999999996,209.0
66,Lamar Miller,RB,56.949999999999996,-43.65,210.0
69,Anthony McFarland Jr.,RB,55.900000000000006,-44.69999999999999,211.0
34,Nick Boyle,TE,62.85,-44.699999999999996,212.0
67,Rashaad Penny,RB,55.5,-45.099999999999994,213.0
71,Rex Burkhead,RB,55.349999999999994,-45.25,214.0
64,Benny Snell Jr.,RB,54.4,-46.199999999999996,215.0
81,Kenny Stills,WR,75.25,-46.650000000000006,216.0
70,Bryce Love,RB,53.5,-47.099999999999994,217.0
68,Carlos Hyde,RB,53.4,-47.199999999999996,218.0
82,John Ross,WR,73.55,-48.35000000000001,219.0
85,Antonio Gandy-Golden,WR,72.0,-49.900000000000006,220.0
72,Frank Gore,RB,50.55,-50.05,221.0
35,Vance McDonald,TE,57.45,-50.099999999999994,222.0
74,Dion Lewis,RB,50.400000000000006,-50.19999999999999,223.0
84,Miles Boykin,WR,71.39999999999999,-50.500000000000014,224.0
86,KJ Hamler,WR,70.85,-51.05000000000001,225.0
87,Kendrick Bourne,WR,70.1,-51.80000000000001,226.0
80,Jaylen Samuels,RB,48.65,-51.949999999999996,227.0
73,Lynn Bowden Jr.,RB,47.95,-52.64999999999999,228.0
89,Chase Claypool,WR,69.10000000000001,-52.8,229.0
37,Jordan Akins,TE,54.45,-53.099999999999994,230.0
88,Phillip Dorsett,WR,68.3,-53.60000000000001,231.0
36,Will Dissly,TE,53.9,-53.65,232.0
90,Laviska Shenault Jr.,WR,68.0,-53.900000000000006,233.0
92,Willie Snead,WR,67.55,-54.35000000000001,234.0
91,Jakeem Grant,WR,67.45,-54.45,235.0
40,Trey Burton,TE,52.400000000000006,-55.14999999999999,236.0
41,Devin Asiasi,TE,52.25,-55.3,237.0
77,DeAndre Washington,RB,45.25,-55.349999999999994,238.0
75,Darwin Thompson,RB,44.300000000000004,-56.29999999999999,239.0
82,Royce Freeman,RB,43.9,-56.699999999999996,241.0
39,Dan Arnold,TE,50.85,-56.699999999999996,241.0
38,Anthony Firkser,TE,50.85,-56.699999999999996,241.0
76,Darrel Williams,RB,43.8,-56.8,243.0
42,Cole Kmet,TE,50.05,-57.5,244.0
85,Kyle Juszczyk,RB,42.75,-57.849999999999994,245.0
81,Brian Hill,RB,41.949999999999996,-58.65,246.0
83,Lamical Perine,RB,40.95,-59.64999999999999,247.0
78,Gus Edwards,RB,40.55,-60.05,248.0
79,Damien Harris,RB,40.4,-60.199999999999996,249.0
84,Reggie Bonnafon,RB,37.7,-62.89999999999999,250.0
43,Jordan Reed,TE,44.5,-63.05,251.0
94,Devin Duvernay,WR,57.5,-64.4,252.0
46,Jeremy Sprinkle,TE,43.1,-64.44999999999999,253.0
44,Ryan Griffin,TE,43.05,-64.5,254.0
45,Jesse James,TE,42.1,-65.44999999999999,255.0
93,Tre'Quan Smith,WR,55.45,-66.45,256.0
86,Justice Hill,RB,33.95,-66.64999999999999,257.0
87,Sewo Olonilua,RB,32.7,-67.89999999999999,258.0
49,Logan Thomas,TE,39.15,-68.4,259.0
