,PLAYER,POS,FPTS,VOR,VALUERANK
0,Christian McCaffrey,RB,316.75,177.25,1.0
1,Saquon Barkley,RB,274.15000000000003,134.65000000000003,2.0
2,Ezekiel Elliott,RB,270.05,130.55,3.0
4,Dalvin Cook,RB,260.5,121.0,4.0
0,Michael Thomas,WR,263.85,113.75000000000003,5.0
5,Alvin Kamara,RB,248.0,108.5,6.0
3,Derrick Henry,RB,246.15,106.65,7.0
0,Lamar Jackson,QB,355.2,94.80000000000001,8.0
1,Davante Adams,WR,239.8,89.70000000000002,9.0
7,Clyde Edwards-Helaire,RB,224.1,84.6,10.0
10,Miles Sanders,RB,221.4,81.9,11.0
1,Patrick Mahomes,QB,341.9,81.5,12.0
0,Travis Kelce,TE,207.25,80.94999999999999,13.0
9,Aaron Jones,RB,220.1,80.6,14.0
12,Kenyan Drake,RB,219.6,80.1,15.0
8,Joe Mixon,RB,218.25,78.75,16.0
2,Julio Jones,WR,228.4,78.30000000000001,17.0
14,Austin Ekeler,RB,216.9,77.4,18.0
6,Nick Chubb,RB,214.7,75.19999999999999,19.0
11,Josh Jacobs,RB,210.75,71.25,20.0
3,Tyreek Hill,WR,216.15,66.05000000000001,21.0
13,Chris Carson,RB,202.6,63.099999999999994,22.0
1,George Kittle,TE,189.10000000000002,62.80000000000001,23.0
5,DeAndre Hopkins,WR,212.1,62.0,24.0
15,Todd Gurley,RB,199.10000000000002,59.60000000000002,25.0
17,Leonard Fournette,RB,196.70000000000002,57.20000000000002,26.0
4,Chris Godwin,WR,207.10000000000002,57.00000000000003,27.0
18,Le'Veon Bell,RB,195.3,55.80000000000001,28.0
16,David Johnson,RB,194.39999999999998,54.89999999999998,29.0
2,Dak Prescott,QB,314.6,54.200000000000045,30.0
3,Deshaun Watson,QB,310.9,50.5,31.0
6,Mike Evans,WR,199.25,49.150000000000006,32.0
7,Kenny Golladay,WR,197.05,46.95000000000002,33.0
10,D.J. Moore,WR,195.6,45.5,34.0
11,Robert Woods,WR,194.55,44.45000000000002,35.0
19,James Conner,RB,183.25,43.75,36.0
20,Melvin Gordon,RB,183.2,43.69999999999999,37.0
4,Russell Wilson,QB,303.9,43.5,38.0
8,Amari Cooper,WR,192.05,41.95000000000002,39.0
9,Adam Thielen,WR,191.95,41.849999999999994,40.0
15,Cooper Kupp,WR,191.6,41.5,41.0
3,Zach Ertz,TE,166.85,40.54999999999998,42.0
12,Calvin Ridley,WR,189.60000000000002,39.50000000000003,43.0
16,Allen Robinson,WR,189.05,38.95000000000002,44.0
13,Tyler Lockett,WR,186.75,36.650000000000006,45.0
18,Keenan Allen,WR,186.05,35.95000000000002,46.0
5,Kyler Murray,QB,294.9,34.5,47.0
6,Josh Allen,QB,293.6,33.200000000000045,48.0
14,A.J. Brown,WR,181.85,31.75,49.5
17,Odell Beckham Jr.,WR,181.85,31.75,49.5
2,Mark Andrews,TE,157.45,31.149999999999977,51.0
21,JuJu Smith-Schuster,WR,179.95,29.849999999999994,52.0
22,Devin Singletary,RB,167.75,28.25,53.0
19,DeVante Parker,WR,178.10000000000002,28.00000000000003,54.0
4,Darren Waller,TE,153.25,26.94999999999999,55.0
20,Courtland Sutton,WR,176.04999999999998,25.94999999999999,56.0
7,Matt Ryan,QB,286.1,25.700000000000045,57.0
22,Terry McLaurin,WR,173.95,23.849999999999994,58.0
23,T.Y. Hilton,WR,173.05,22.950000000000017,59.0
23,Mark Ingram II,RB,161.25,21.75,60.0
21,David Montgomery,RB,160.5,21.0,61.0
26,A.J. Green,WR,168.8,18.700000000000017,62.0
28,Jarvis Landry,WR,168.65,18.55000000000001,63.0
26,Ronald Jones II,RB,157.4,17.900000000000006,64.0
25,D.K. Metcalf,WR,167.95000000000002,17.850000000000023,65.0
24,Michael Gallup,WR,167.9,17.80000000000001,66.0
8,Tom Brady,QB,278.0,17.600000000000023,67.0
24,Jonathan Taylor,RB,155.39999999999998,15.899999999999977,68.0
9,Drew Brees,QB,275.9,15.5,69.0
27,Stefon Diggs,WR,165.35,15.25,70.0
10,Aaron Rodgers,QB,273.9,13.5,71.0
29,D.J. Chark,WR,163.55,13.450000000000017,72.0
25,Raheem Mostert,RB,152.45,12.949999999999989,73.0
5,Evan Engram,TE,137.95,11.649999999999977,74.0
32,Julian Edelman,WR,161.65,11.550000000000011,75.0
29,Kareem Hunt,RB,150.8,11.300000000000011,76.0
33,Tyler Boyd,WR,161.0,10.900000000000006,77.0
11,Carson Wentz,QB,270.5,10.100000000000023,78.0
30,Marquise Brown,WR,158.9,8.800000000000011,79.0
31,Marvin Jones,WR,158.45,8.349999999999994,80.0
27,D'Andre Swift,RB,146.70000000000002,7.200000000000017,81.0
8,Tyler Higbee,TE,129.4,3.0999999999999943,82.0
7,Hunter Henry,TE,128.85,2.549999999999983,83.0
28,Cam Akers,RB,141.4,1.9000000000000057,84.0
36,Jamison Crowder,WR,150.1,0.0,86.5
6,Jared Cook,TE,126.30000000000001,0.0,86.5
30,Kerryon Johnson,RB,139.5,0.0,86.5
12,Matthew Stafford,QB,260.4,0.0,86.5
13,Cam Newton,QB,260.0,-0.39999999999997726,89.0
35,Diontae Johnson,WR,148.65,-1.4499999999999886,90.0
36,James White,RB,137.1,-2.4000000000000057,91.0
40,Sterling Shepard,WR,146.35000000000002,-3.7499999999999716,92.0
34,Will Fuller,WR,145.70000000000002,-4.399999999999977,93.0
39,Christian Kirk,WR,145.65,-4.449999999999989,94.0
14,Jared Goff,QB,255.8,-4.599999999999966,95.0
38,Tarik Cohen,RB,134.8,-4.699999999999989,96.0
38,Brandin Cooks,WR,143.6,-6.5,97.0
15,Ryan Tannehill,QB,252.9,-7.499999999999972,98.0
11,Hayden Hurst,TE,118.7,-7.6000000000000085,99.0
43,Golden Tate,WR,142.45,-7.650000000000006,100.0
16,Daniel Jones,QB,252.4,-7.999999999999972,101.0
9,Rob Gronkowski,TE,117.9,-8.400000000000006,102.0
42,Preston Williams,WR,140.95,-9.150000000000006,103.0
10,Noah Fant,TE,116.5,-9.800000000000011,104.0
31,Marlon Mack,RB,128.1,-11.400000000000006,105.0
13,Mike Gesicki,TE,114.5,-11.800000000000011,106.0
12,Austin Hooper,TE,114.3,-12.000000000000014,107.0
37,Mike Williams,WR,137.8,-12.299999999999983,108.0
41,John Brown,WR,137.54999999999998,-12.550000000000011,109.0
35,Phillip Lindsay,RB,124.9,-14.599999999999994,110.0
17,Baker Mayfield,QB,245.4,-14.999999999999972,111.0
33,Jordan Howard,RB,124.5,-15.0,112.0
44,Darius Slayton,WR,134.65,-15.449999999999989,113.0
18,Kirk Cousins,QB,244.6,-15.799999999999983,114.0
19,Gardner Minshew II,QB,244.3,-16.099999999999966,115.0
20,Ben Roethlisberger,QB,243.6,-16.799999999999983,116.0
32,Sony Michel,RB,122.5,-17.0,117.0
37,Matt Breida,RB,121.35,-18.150000000000006,118.0
34,Tevin Coleman,RB,120.85,-18.650000000000006,119.0
14,T.J. Hockenson,TE,107.55,-18.750000000000014,120.0
48,Anthony Miller,WR,131.25,-18.849999999999994,121.0
21,Jimmy Garoppolo,QB,241.4,-18.99999999999997,122.0
22,Joe Burrow,QB,240.8,-19.599999999999966,123.0
45,Breshad Perriman,WR,130.15,-19.94999999999999,124.0
49,Emmanuel Sanders,WR,129.4,-20.69999999999999,125.0
46,Deebo Samuel,WR,129.15,-20.94999999999999,126.0
15,Chris Herndon IV,TE,104.2,-22.10000000000001,127.0
47,DeSean Jackson,WR,127.75,-22.349999999999994,128.0
51,Henry Ruggs III,WR,127.05000000000001,-23.049999999999983,129.0
50,CeeDee Lamb,WR,127.05,-23.049999999999997,130.0
16,Dallas Goedert,TE,102.95,-23.35000000000001,131.0
53,Jalen Reagor,WR,126.7,-23.39999999999999,132.0
42,Duke Johnson,RB,115.1,-24.400000000000006,133.0
52,Robby Anderson,WR,125.6,-24.5,134.0
20,Jack Doyle,TE,101.4,-24.900000000000006,135.0
54,Sammy Watkins,WR,124.0,-26.099999999999994,136.0
17,Eric Ebron,TE,99.9,-26.400000000000006,137.0
19,Blake Jarwin,TE,99.4,-26.900000000000006,138.0
18,Jonnu Smith,TE,99.15,-27.150000000000006,139.0
23,Drew Lock,QB,232.6,-27.799999999999983,140.0
56,Jerry Jeudy,WR,121.9,-28.19999999999999,141.0
40,Latavius Murray,RB,111.2,-28.299999999999997,142.0
24,Teddy Bridgewater,QB,231.4,-28.99999999999997,143.0
55,Curtis Samuel,WR,120.35,-29.75,144.0
25,Philip Rivers,QB,230.6,-29.799999999999983,145.0
39,Adrian Peterson,RB,108.95,-30.549999999999997,146.0
57,Justin Jefferson,WR,119.45,-30.64999999999999,147.0
21,Ian Thomas,TE,95.35,-30.950000000000017,148.0
58,Allen Lazard,WR,118.89999999999999,-31.200000000000003,149.0
41,J.K. Dobbins,RB,105.6,-33.900000000000006,150.0
44,Darrell Henderson,RB,104.35,-35.150000000000006,151.0
59,N'Keal Harry,WR,114.9,-35.19999999999999,152.0
26,Derek Carr,QB,224.9,-35.49999999999997,153.0
27,Sam Darnold,QB,224.4,-35.99999999999997,154.0
61,Steven Sims,WR,113.65,-36.44999999999999,155.0
23,Jace Sternberger,TE,89.1,-37.20000000000002,156.0
65,Dede Westbrook,WR,112.05000000000001,-38.04999999999998,157.0
46,Antonio Gibson,RB,101.25,-38.25,158.0
68,Danny Amendola,WR,111.55000000000001,-38.54999999999998,159.0
