	Joe Mixon	Tyreek Hill	Jalen Hurts	Dalton Schultz	Josh Jacobs	Marquise Brown	Chase Claypool	Marvin Jones	Mark Ingram	Rex Burkhead	Gerald Everett	Nico Collins
0	19.8	7.6	12.96	4.8	12.7	4.4	5.4	0.8	5.3		4.4	
1	10.9	20.8	11.22		9.5	13.8	9.4	13.7	1.7	6.6	5.4	5.5
2	6.8	11.5	19.28	12.6	3.1	9.9	9.4	2.5	2.9	7.9	4.6	3.5
3	21.0	2.5	16.68	5.4	9.5	9.8	11.9	7.4	4.1	0.7	3.9	
4	25.5	24.1	0.6	14.1	12.8	4.1	19.0	5.5	2.7	18.6	3.6	0.9
5	24.6	11.4	1.8	12.7	3.6	4.3	8.2	5.2	15.1	10.8	5.4	9.3
6	21.3	7.0	0.72		2.4	4.1	5.2	5.5	2.9	3.2	8.0	2.8
7	11.9	20.5	27.64	14.1	7.4	10.1	1.9	4.3	6.4	3.1	2.3	4.4
8	21.1	2.5	28.18	4.5	26.3	24.5	13.0	1.1	23.8	0.9	3.6	9.3
9	7.1	11.4		0.4	16.0	14.0	19.0	2.4	14.5	1.2	1.3	3.2
10	23.0	11.4	16.68	2.2	20.4	0.8	8.2	7.4	2.6	4.5	6.3	5.5
11	13.7	16.2	18.62	8.5	3.1	14.0	9.5	0.9	16.8	6.6	9.7	6.7
12	21.1	11.5	18.62	7.9	9.4	4.2	14.1	5.2	8.1	26.9	2.7	6.7
13	7.1	22.0	20.54	2.1	6.1	5.5	9.6	4.6	9.7	4.5	0.2	0.9
14	9.4	2.2	28.18	2.2	26.3	8.6	2.4	1.1	2.4	6.6	6.0	1.4
15	11.9	7.6	20.54	14.2	10.9	3.8	9.6	2.1	9.7		2.3	2.8
16	24.3	5.0	20.54	5.3	5.7	14.0	4.1	33.3	16.8	4.5	2.7	1.4
17	6.8	20.5	11.22	7.4	5.7	4.4	7.0	4.3	1.8		-3.3	6.7
18	24.3	36.6	23.54	4.3	25.6	5.1	6.7	7.4	7.7	8.5	0.7	0.7
19	11.9	16.0	12.96		3.1	3.8	14.8	14.8	20.5		3.6	3.5
20	24.3	16.0	0.24	7.9	17.2	3.8	1.7	16.0	2.9	4.7	8.8	2.5
21	21.0	4.2	30.78		20.4	0.6	7.3	5.1	1.8		5.4	0.7
22	23.0	6.7	0.24	1.8	12.4	0.8	4.3	9.7	7.9	2.3		2.8
23	12.9	10.6	18.62		16.0	17.3	19.0	14.8	0.2	1.3	1.5	9.3
24	12.9	23.1	12.96	3.5	5.7	2.7	9.4	4.8	6.4	4.0	2.7	9.3
25	7.7	2.5	22.92	1.8	3.6	5.1	5.4	4.3	8.1	4.0	2.3	6.9
26	36.1	23.1	18.62	13.2	3.6	17.3	4.3	4.6	10.9		2.3	9.3
